English,French,Portuguese,sim_en_fr,sim_fr_pt,sim_pt_en
Right,Droit,Direito,0.9310951,0.93492466,0.911761
Duty,Devoir,Dever,0.91401136,0.96647525,0.96387315
Power,Pouvoir,Poder,0.9448025,0.9253483,0.8723456
Force,Force,vigor,1.0000002,0.94285923,0.94285923
Energy,énergie,Energia,0.8517446,0.91417205,0.899907
Heat,Chaleur,Calor,0.9701576,0.96137464,0.9617323
Cold,Froid,Frio,0.9777849,0.9809903,0.98277426
Effect,Effet,Efeito,0.96719813,0.8498799,0.8445488
Cause,Cause,Causa,0.9999996,0.93951905,0.93951905
Reason,Raison,razão,0.9147968,0.9497849,0.846696
Result,résultat,Resultado,0.8748727,0.90301824,0.9779006
Purpose,But,propósito,0.92015386,0.9278955,0.95813066
Plan,Plan,Plano,0.99999934,0.97387,0.97387
Action,Action,Ação,1.0,0.8058828,0.8058828
Event,événement,Evento,0.8909394,0.90035045,0.97767204
Change,Changement,mudança,0.9029893,0.9206854,0.851202
Growth,Croissance,Crescimento,0.96247345,0.9547612,0.96885955
Age,Âge,Idade,0.9542107,0.93315536,0.98777586
Way,Chemin,Caminho,0.92422956,0.967966,0.9289183
Path,Sentier,Caminho,0.9599123,0.9496386,0.89336634
Direction,Direction,direção,0.99999976,0.8678227,0.8678227
Middle,Milieu,Meio,0.91079515,0.9561187,0.8376367
Top,Haut,Topo,0.905134,0.90530384,0.9868733
Bottom,Bas,Fundo,0.9064085,0.90057933,0.8979285
Side,côté,Lado,0.9180467,0.9757664,0.89530104
Front,Devant,Frente,0.788819,0.9389519,0.7480821
Back,Dos,Costas,0.8122912,0.9342906,0.8637507
End,Fin,Fim,0.94509363,0.97494876,0.924492
Start,commencer,Início,0.93693405,0.90117306,0.9107003
Beginning,début,Início,0.89330554,0.91416115,0.93022674
Distance,Distance,distância,1.0,0.9551851,0.9551851
Length,Longueur,Comprimento,0.97701615,0.92856526,0.9107208
Width,Largeur,Largura,0.91406554,0.99365485,0.90719575
Height,Hauteur,Altura,0.87024546,0.9566771,0.9551844
Depth,Profondeur,Profundidade,0.86985886,0.9653473,0.91577435
Area,Zone,Área,0.99204713,0.8442954,0.8115185
Volume,Volume,Volume,1.0000006,1.0000006,1.0000006
Surface,Surface,Superfície,1.0000002,0.90065706,0.90065706
Edge,Bord,Borda,0.8790097,0.9772412,0.90558153
Center,Centre,Centro,0.8885888,0.95085377,0.86608887
North,Nord,Norte,0.95441675,0.96754193,0.91599596
South,Sud,Sul,0.95657915,0.9616401,0.91907007
East,Est,Leste,0.8771068,0.9545988,0.93519735
West,Ouest,Oeste,0.9646818,0.9807948,0.925019
House,Maison,Casa,0.9611211,0.92436075,0.9125525
Home,Maison,Lar,0.9485823,0.8618695,0.8656535
Room,chambre,Quarto,0.9073488,0.95788234,0.8609756
Door,Porte,Porta,0.93373936,0.923352,0.8536972
Window,fenêtre,Janela,0.853901,0.9655511,0.8305149
Wall,Mur,Parede,0.91650736,0.93689007,0.8985505
Floor,Plancher,chão,0.9516147,0.9645048,0.9036285
Ceiling,Plafond,Teto,0.96425843,0.95449924,0.9596585
Roof,Toit,Telhado,0.9665284,0.94722617,0.9706343
Table,Table,Mesa,1.0000006,0.86949515,0.86949515
Chair,Chaise,Cadeira,0.97837865,0.9568473,0.9607079
Bed,Lit,Cama,0.97082734,0.9607215,0.9230303
Sofa,canapé,sofá,0.9621133,0.98736775,0.9598355
Lamp,Lampe,lâmpada,0.96584487,0.9331569,0.86734945
Computer,Ordinateur,Computador,0.96225435,0.9805018,0.9600156
Phone,téléphone,Telefone,0.95602506,0.94723755,0.9302439
Car,Voiture,Carro,0.93395513,0.958654,0.9757869
Bus,Bus,ônibus,0.99999976,0.78233063,0.78233063
Train,Train,Trem,1.0000005,0.92861825,0.92861825
Plane,Avion,palne,0.9268897,0.9718384,0.93725896
Boat,Bateau,Barco,0.9663536,0.9784084,0.97622263
Ship,Navire,Navio,0.9765574,0.98953664,0.9612774
Street,Rue,Rua,0.95705414,0.9641862,0.9371868
City,Ville,Cidade,0.95545846,0.96581674,0.9480119
Town,Ville,Cidade,0.9794734,0.96581674,0.9602765
Country,Pays,País,0.90328693,0.9257987,0.8455404
World,Monde,Mundo,0.92211753,0.9897513,0.9032049
Earth,Terre,Terra,0.96667355,0.98566115,0.96224093
Sky,Ciel,céu,0.93854886,0.9782326,0.93823737
Sun,Soleil,Sol,0.97510755,0.9498503,0.94097376
Moon,Lune,Lua,0.985102,0.939167,0.9588072
Star,étoile,Estrela,0.9113666,0.9260563,0.9257842
Cloud,Nuage,Nuvem,0.94970965,0.97424823,0.9238694
Rain,Pluie,Chuva,0.96886194,0.8750967,0.82745624
Snow,Neige,Neve,0.9534375,0.9809133,0.9473581
Wind,Vent,Vento,0.9537159,0.9730798,0.9581702
Air,Air,Ar,1.0000001,0.9181046,0.9181046
Water,Eau,Água,0.95405376,0.93014175,0.85636836
Fire,Feu,Fogo,0.90710896,0.97928804,0.9220025
Food,Nourriture,Comida,0.9091427,0.9383206,0.8737029
Drink,Boisson,Bebida,0.97186726,0.9713754,0.9753954
Bread,Pain,pão,0.96850985,0.9410403,0.9506814
Milk,Lait,Leite,0.9759889,0.9380658,0.9247543
Coffee,café,café,0.9796569,1.0000005,0.9796569
Tea,thé,chá,0.9762695,0.8796442,0.8720259
Sugar,Sucre,açúcar,0.96401536,0.9377399,0.8989947
Salt,Sel,Sal,0.9223865,0.9127576,0.9566561
Meat,Viande,Carne,0.9497243,0.9399017,0.96798396
Fish,Poisson,Peixe,0.9839746,0.97298425,0.96614355
Egg,œuf,Ovo,0.8892377,0.8928952,0.98261154
Fruit,Fruit,Fruta,0.99999994,0.97046584,0.97046584
Vegetable,légume,Vegetal,0.9727844,0.9784251,0.9945895
Rice,Riz,Arroz,0.96906745,0.9581565,0.9579266
Pasta,pâtes,Massa,0.9788412,0.6914559,0.65901536
Soup,Soupe,Sopa,0.8799151,0.95953333,0.942006
Juice,Jus,Suco,0.91902405,0.8903264,0.97343856
Wine,Vin,Vinho,0.9543109,0.9493953,0.94459194
Beer,bière,Cerveja,0.9569567,0.9743582,0.9652067
