sentence,sentiment
बिजली कटौती ने बहुत परेशानी दी।,negative
मुझे नहीं लगता इसमें कुछ खास था।,neutral
आपका संदेश पढ़कर दिल खुश हो गया।,positive
फोन बार-बार हैंग हो रहा है, बहुत निराश हूं।,negative
मुझे इससे कोई भावनात्मक असर नहीं हुआ।,neutral
आपका समर्थन हमेशा मेरी ताकत रहा है।,positive
ऑफिस में आज का दिन बहुत तनावपूर्ण रहा।,negative
मुझे यह स्थिति बहुत सामान्य लगी।,neutral
आपके साथ समय बिताना सुखद अनुभव रहा।,positive
आज का अनुभव पूरी तरह से खराब रहा।,negative
मैं इसमें कोई खास अंतर नहीं देख पाया।,neutral
आपकी छोटी सी मुस्कान दिन बना देती है।,positive
लड़ाई की वजह से पूरा दिन खराब हो गया।,negative
मुझे यह सामान्य ही लगा।,neutral
आपके साथ हर बात आसान लगती है।,positive
क्लास रद्द हो गई, सारा प्लान बिगड़ गया।,negative
मैं इस बारे में निष्पक्ष हूं।,neutral
आपकी सराहना बहुत आत्मविश्वास देती है।,positive
सड़क जाम में फंसकर बहुत चिढ़ हुई।,negative
मुझे इस बात से कोई खास फर्क नहीं पड़ा।,neutral
आपका अनुभव सुनकर अच्छा लगा।,positive
यह खबर बहुत निराशाजनक थी।,negative
मैं इसमें न तो खुशी महसूस कर रहा हूं, न दुख।,neutral
आपके शब्द बहुत सुकूनदायक हैं।,positive
इंटरनेट की खराबी ने काम बिगाड़ दिया।,negative
मुझे यह अनुभव न अच्छा लगा, न बुरा।,neutral
आपके साथ बिताया समय यादगार रहा।,positive
वह व्यवहार बहुत असभ्य था।,negative
मैं इस विषय पर कुछ खास नहीं सोचता।,neutral
आपका समर्थन मेरे लिए प्रेरणा है।,positive
पढ़ाई में लगातार असफलता बहुत दुखद है।,negative
मुझे इसमें कुछ खास समझ नहीं आया।,neutral
आपकी बातों ने मेरी सोच बदल दी।,positive
आज का खाना बेहद बेस्वाद था।,negative
मैं इस निर्णय से सहमत भी नहीं हूं, असहमत भी नहीं।,neutral
आपके साथ यात्रा करना मजेदार था।,positive
डॉक्टर का व्यवहार बहुत ही रूखा था।,negative
मुझे यह घटना सामान्य लगी।,neutral
आपका प्रोत्साहन मेरे लिए वरदान है।,positive
टेस्ट में कम नंबर आए, थोड़ा बुरा लगा।,negative
इससे मेरी भावना पर कोई असर नहीं हुआ।,neutral
आपका साथ पाकर खुद को भाग्यशाली समझता हूं।,positive
मौसम की खराबी ने मूड खराब कर दिया।,negative
मुझे इस बारे में कुछ खास महसूस नहीं हुआ।,neutral
आपके शब्दों से बहुत हिम्मत मिली।,positive
लाइट चली गई थी, सब अंधेरा हो गया।,negative
मुझे इसमें कोई नई बात नहीं लगी।,neutral
आपका फोन कॉल बहुत राहत भरा था।,positive
वो व्यवहार अस्वीकार्य था।,negative
मैं इसे नकारात्मक या सकारात्मक नहीं मानता।,neutral
आपकी मुस्कान में सच्चाई झलकती है।,positive
मुझे परीक्षा में बहुत खराब लगा।,negative
मुझे इस विषय में कोई गहराई महसूस नहीं हुई।,neutral
आपका साथ एक तोहफे जैसा है।,positive
आज का दिन बहुत ही व्यर्थ गया।,negative
मैं इस पर कोई भावना नहीं रखता।,neutral
आपकी उपस्थिति ने माहौल को खुशनुमा बना दिया।,positive
यह सेवा अनुभव बहुत खराब रहा।,negative
मुझे इसमें कुछ खास दिलचस्पी नहीं थी।,neutral
आपका व्यवहार सराहनीय है।,positive
बिना किसी कारण के डांट सुनकर बहुत बुरा लगा।,negative
इस पर मेरी कोई मजबूत भावना नहीं है।,neutral
आपकी तारीफें सुनकर बहुत खुशी हुई।,positive
काम में लगातार बाधाएं आ रही हैं।,negative
मुझे यह अनुभव साधारण लगा।,neutral
आपका स्नेह मेरे लिए बहुत मायने रखता है।,positive
यह दिन बहुत थका देने वाला रहा।,negative
मुझे इसमें कोई आनंद नहीं आया।,neutral
आपकी मदद के लिए मैं आभारी हूं।,positive
काम की अधिकता से बहुत तनाव हो रहा है।,negative
मुझे यह स्थिति बहुत तटस्थ लगी।,neutral
आपके विचार बहुत सकारात्मक हैं।,positive
फोन बार-बार डिसकनेक्ट हो रहा है।,negative
मुझे इससे कोई भावना नहीं हुई।,neutral
आपका मेल पढ़कर अच्छा लगा।,positive
क्लास में माहौल बहुत उबाऊ था।,negative
मैं इस विषय पर निष्पक्ष हूं।,neutral
आपकी बातों ने मेरी सोच बदल दी।,positive
यह घटना मेरे लिए निराशाजनक थी।,negative
मुझे इसमें कोई खास रुचि नहीं हुई।,neutral
आपका समर्थन हमेशा मेरे साथ रहा है।,positive
आज की सेवा से मैं पूरी तरह असंतुष्ट हूं।,negative
मुझे यह सब कुछ सामान्य लगा।,neutral
यह फिल्म अत्यंत मनोरंजक रही।,positive
यह निर्णय निराशाजनक रहा।,negative
यह अनुभव तटस्थ रहा।,neutral
आपकी सहायता सराहनीय रही।,positive
यह योजना असफल रही।,negative
यह यात्रा औसत रही।,neutral
यह सेवा अत्यंत लाभकारी रही।,positive
यह निर्णय दुखद रहा।,negative
यह अनुभव सामान्य रहा।,neutral
यह अवसर बेहद सुखद रहा।,positive
यह कार्य बेकार साबित हुआ।,negative
यह सेवा औसत दर्जे की रही।,neutral
आपकी सलाह अमूल्य रही।,positive
यह योजना बेकार रही।,negative
यह अनुभव तटस्थ रहा।,neutral
यह अवसर बेहद लाभकारी रहा।,positive
यह निर्णय अस्वीकार्य रहा।,negative
यह सेवा सामान्य रही।,neutral
यह प्रयास बेहद सफल रहा।,positive
यह खबर निराशाजनक रही।,negative
यह अनुभव औसत रहा।,neutral
यह योजना लाभकारी रही।,positive
यह निर्णय असफल साबित हुआ।,negative
यह सेवा तटस्थ रही।,neutral
यह अवसर विशेष रहा।,positive
यह कार्य निराशाजनक रहा।,negative
यह अनुभव साधारण रहा।,neutral
यह यात्रा अत्यंत सुखद रही।,positive
यह योजना असफल रही।,negative
यह सेवा औसत रही।,neutral
आपकी सहायता बहुमूल्य रही।,positive
यह निर्णय गलत रहा।,negative
यह अनुभव औसत रहा।,neutral
यह अवसर बेहतरीन रहा।,positive
यह कार्य असफल रहा।,negative
यह सेवा तटस्थ रही।,neutral
यह योजना उत्कृष्ट रही।,positive
यह निर्णय निराशाजनक था।,negative
यह अनुभव सामान्य रहा।,neutral
आपकी मदद अमूल्य रही।,positive
यह योजना नुकसानदेह रही।,negative
यह सेवा औसत रही।,neutral
यह अवसर अत्यंत लाभकारी रहा।,positive
यह कार्य असफल रहा।,negative
यह अनुभव साधारण रहा।,neutral
यह योजना बेहद सफल रही।,positive
यह निर्णय बेकार था।,negative
यह सेवा औसत रही।,neutral
आपकी सहायता सराहनीय रही।,positive
यह खबर दुखद रही।,negative
यह अनुभव सामान्य रहा।,neutral
यह अवसर अत्यंत लाभकारी रहा।,positive
यह योजना असफल साबित हुई।,negative
यह सेवा औसत रही।,neutral
यह प्रयास लाभकारी रहा।,positive
यह निर्णय अस्वीकार्य था।,negative
यह अनुभव साधारण रहा।,neutral
यह अवसर सुखद रहा।,positive
यह कार्य निराशाजनक रहा।,negative
यह सेवा औसत रही।,neutral
आपकी मदद बहुमूल्य रही।,positive
यह योजना बेकार रही।,negative
यह अनुभव तटस्थ रहा।,neutral
यह अवसर लाभकारी रहा।,positive
यह निर्णय असफल साबित हुआ।,negative
यह सेवा सामान्य रही।,neutral
यह यात्रा सुखद रही।,positive
यह अनुभव निराशाजनक था।,negative
यह योजना औसत रही।,neutral
यह अवसर बेहतरीन रहा।,positive
यह निर्णय गलत था।,negative
यह सेवा औसत रही।,neutral
आपकी सहायता अमूल्य रही।,positive
यह योजना नुकसानदेह रही।,negative
यह अनुभव सामान्य रहा।,neutral
यह अवसर बेहद लाभकारी रहा।,positive
यह कार्य असफल रहा।,negative
यह सेवा औसत रही।,neutral
यह प्रयास अत्यंत सफल रहा।,positive
यह निर्णय अस्वीकार्य रहा।,negative
यह अनुभव साधारण रहा।,neutral
आपकी मदद बहुमूल्य रही।,positive
यह योजना बेकार रही।,negative
यह सेवा औसत रही।,neutral
यह अवसर सुखद रहा।,positive
यह निर्णय नुकसानदेह रहा।,negative
यह अनुभव औसत रहा।,neutral
यह प्रयास उत्कृष्ट रहा।,positive
यह कार्य असफल रहा।,negative
यह सेवा औसत रही।,neutral
यह योजना लाभकारी रही।,positive
यह निर्णय असफल साबित हुआ।,negative
यह अनुभव साधारण रहा।,neutral
आपकी सहायता अत्यंत लाभकारी रही।,positive
यह योजना बेकार रही।,negative
यह सेवा औसत रही।,neutral
यह अवसर उत्कृष्ट रहा।,positive
यह निर्णय गलत रहा।,negative
यह अनुभव तटस्थ रहा।,neutral
यह प्रयास सफल रहा।,positive
यह योजना निराशाजनक रही।,negative
यह सेवा औसत रही।,neutral
यह अवसर बेहतरीन रहा।,positive
यह निर्णय असफल रहा।,negative
यह अनुभव सामान्य रहा।,neutral
आपकी मदद अमूल्य रही।,positive
यह योजना बेकार रही।,negative
यह सेवा औसत रही।,neutral
यह अवसर लाभकारी रहा।,positive
यह निर्णय नुकसानदेह रहा।,negative
यह अनुभव औसत रहा।,neutral
यह प्रयास अत्यंत सफल रहा।,positive
यह योजना असफल रही।,negative
यह सेवा औसत रही।,neutral
आपकी सहायता बहुमूल्य रही।,positive
यह निर्णय अस्वीकार्य रहा।,negative
यह अनुभव साधारण रहा।,neutral
यह अवसर बेहतरीन रहा।,positive
यह योजना बेकार रही।,negative
यह सेवा औसत रही।,neutral
यह प्रयास उत्कृष्ट रहा।,positive
यह निर्णय गलत रहा।,negative
यह अनुभव सामान्य रहा।,neutral
आपकी सहायता अमूल्य रही।,positive
यह योजना नुकसानदेह रही।,negative
यह सेवा औसत रही।,neutral
यह अवसर लाभकारी रहा।,positive
यह निर्णय असफल रहा।,negative
यह अनुभव साधारण रहा।,neutral
यह प्रयास बेहतरीन रहा।,positive
यह योजना बेकार रही।,negative
यह सेवा औसत रही।,neutral
आपकी मदद बहुमूल्य रही।,positive
यह निर्णय गलत था।,negative
यह अनुभव सामान्य रहा।,neutral
यह अवसर सुखद रहा।,positive
यह योजना असफल रही।,negative
यह सेवा औसत रही।,neutral
यह प्रयास लाभकारी रहा।,positive
यह निर्णय अस्वीकार्य रहा।,negative
यह अनुभव औसत रहा।,neutral
यह अवसर आनंददायक रहा।,positive
यह योजना बेकार रही।,negative
यह सेवा औसत रही।,neutral
आपकी सहायता सराहनीय रही।,positive
यह निर्णय नुकसानदेह रहा।,negative
यह अनुभव साधारण रहा।,neutral
यह अवसर बेहद लाभकारी रहा।,positive
यह योजना असफल रही।,negative
यह सेवा औसत रही।,neutral
यह फिल्म मेरे जीवन की सबसे बेहतरीन फिल्मों में से एक थी।,positive
मैंने इतनी खराब सेवा पहले कभी नहीं देखी।,negative
मुझे इस विषय पर कोई विशेष रुचि महसूस नहीं हुई।,neutral
आपकी मदद ने मेरे काम को बहुत आसान बना दिया।,positive
यह अनुभव मेरे लिए पूरी तरह से निराशाजनक रहा।,negative
इस खबर को सुनकर मुझे न तो खुशी हुई न ही दुख।,neutral
इस अवसर ने मुझे आत्मविश्वास से भर दिया।,positive
यह निर्णय मेरे हिसाब से पूरी तरह गलत था।,negative
मुझे इस विषय पर कोई मजबूत राय नहीं है।,neutral
आपके प्रयासों की जितनी प्रशंसा करूं उतनी कम है।,positive
यह सेवा इतनी खराब थी कि मुझे बार-बार शिकायत करनी पड़ी।,negative
यह जानकारी मेरे लिए कोई खास महत्व नहीं रखती।,neutral
इस योजना का लाभ मेरे पूरे परिवार को मिला।,positive
इस प्रोजेक्ट में मेरी उम्मीदों पर पानी फिर गया।,negative
मैं इस मुद्दे पर तटस्थ रहना चाहता हूं।,neutral
आपकी सलाह ने मेरी समस्या तुरंत सुलझा दी।,positive
यह अनुभव इतना खराब था कि मैं फिर दोबारा नहीं आऊंगा।,negative
मुझे इस विषय पर कोई खास भावना नहीं हुई।,neutral
यह कार्यशाला मेरे लिए अत्यंत ज्ञानवर्धक रही।,positive
इस निर्णय से मुझे बहुत हानि हुई है।,negative
मुझे इस निर्णय से कोई फर्क नहीं पड़ा।,neutral
आपके सहयोग से मुझे हर कदम पर प्रोत्साहन मिला।,positive
यह उत्पाद मेरी अपेक्षाओं पर खरा नहीं उतरा।,negative
इस मुद्दे पर मेरी कोई स्पष्ट राय नहीं है।,neutral
यह यात्रा मेरे लिए जीवन का एक सुंदर अनुभव रही।,positive
यह सेवा इतनी खराब थी कि मैं किसी को सुझाव नहीं दूंगा।,negative
मुझे इस विषय पर कोई विशेष उत्साह नहीं था।,neutral
आपकी सहायता ने मेरे पूरे कार्य को सरल बना दिया।,positive
यह फिल्म समय और पैसे दोनों की बर्बादी थी।,negative
इस अनुभव से मैं न तो प्रसन्न हुआ और न ही दुखी।,neutral
इस उपलब्धि पर मुझे गर्व महसूस हो रहा है।,positive
यह निर्णय मेरे लिए पूरी तरह से निराशाजनक रहा।,negative
मुझे इस बारे में कोई खास विचार नहीं है।,neutral
आपके समर्थन ने मुझे कठिन समय में संभाल लिया।,positive
यह योजना केवल कागजों पर अच्छी लगती है, असल में नहीं।,negative
इस विषय पर मेरी कोई मजबूत राय नहीं बन पाई।,neutral
आपकी मेहनत से यह काम बहुत अच्छे से पूरा हुआ।,positive
यह अनुभव इतना बुरा था कि मैं किसी को नहीं बताना चाहूंगा।,negative
मुझे इससे कोई खास प्रभाव महसूस नहीं हुआ।,neutral
इस पहल से मुझे भविष्य के लिए प्रेरणा मिली।,positive
यह सेवा इतनी निराशाजनक थी कि मुझे पछतावा हुआ।,negative
इस विषय में मेरी कोई विशेष रुचि नहीं है।,neutral
आपकी सलाह ने मुझे सही दिशा में आगे बढ़ाया।,positive
यह फिल्म इतनी खराब थी कि बीच में ही छोड़ दी।,negative
मुझे इस मुद्दे पर कोई विशेष भावना नहीं है।,neutral
इस प्रयास ने मेरे आत्मविश्वास को बढ़ाया।,positive
यह निर्णय पूरी तरह से गलत और असंवेदनशील था।,negative
मुझे इस विषय पर कोई स्पष्ट विचार नहीं आया।,neutral
आपके सहयोग से मैं बहुत प्रसन्न हूं।,positive
यह अनुभव अत्यधिक निराशाजनक साबित हुआ।,negative
मुझे इस विषय में कोई खास दिलचस्पी नहीं है।,neutral
इस योजना ने मुझे उम्मीद से ज्यादा लाभ पहुंचाया।,positive
यह उत्पाद खरीदकर मुझे पछताना पड़ा।,negative
मुझे इससे कोई विशेष भावनात्मक अनुभव नहीं हुआ।,neutral
आपकी सहायता से यह काम संभव हो पाया।,positive
यह निर्णय मेरे लिए नुकसानदायक साबित हुआ।,negative
मुझे इससे कोई खास प्रेरणा नहीं मिली।,neutral
आपकी मदद से मुझे बहुत राहत मिली।,positive
यह सेवा मेरी उम्मीदों से बहुत कमतर रही।,negative
मुझे इस बारे में कोई खास विचार नहीं आया।,neutral
इस अनुभव ने मुझे सकारात्मक सोच दी।,positive
यह योजना पूरी तरह विफल रही।,negative
मुझे इससे कोई विशेष अनुभूति नहीं हुई।,neutral
आपकी सलाह मेरे लिए अमूल्य रही।,positive
यह सेवा इतनी खराब थी कि मैं दुबारा उपयोग नहीं करूंगा।,negative
मुझे इस विषय पर कोई ठोस राय नहीं बन पाई।,neutral
इस अवसर ने मुझे नई ऊर्जा से भर दिया।,positive
यह निर्णय अत्यधिक निराशाजनक रहा।,negative
मुझे इससे कोई भावनात्मक प्रतिक्रिया नहीं हुई।,neutral
आपकी मदद ने मुझे आत्मनिर्भर बनाया।,positive
यह अनुभव पूरी तरह से खराब था।,negative
मुझे इस मुद्दे पर कोई खास प्रतिक्रिया नहीं है।,neutral
इस योजना से मुझे आशा से ज्यादा लाभ हुआ।,positive
यह सेवा मेरे लिए बेहद निराशाजनक रही।,negative
मुझे इस विषय में कोई खास उत्सुकता नहीं थी।,neutral
आपके सहयोग से मेरा आत्मविश्वास बढ़ा।,positive
यह फिल्म एकदम घटिया थी।,negative
मुझे इससे कोई खास फर्क नहीं पड़ा।,neutral
इस अनुभव ने मुझे अंदर से सशक्त किया।,positive
यह निर्णय मेरे लिए बेहद हानिकारक साबित हुआ।,negative
मुझे इस विषय पर कोई विशेष विचार नहीं हैं।,neutral
आपकी मदद से यह सब आसान हो गया।,positive
यह सेवा एकदम बेकार साबित हुई।,negative
मुझे इससे कोई खास अनुभूति नहीं हुई।,neutral
इस अवसर ने मुझे अपनी क्षमताओं पर भरोसा दिलाया।,positive
यह निर्णय पूरी तरह असंवेदनशील था।,negative
मुझे इस बारे में कोई ठोस राय नहीं बन पाई।,neutral
आपकी सहायता ने इस काम को सफल बनाया।,positive
यह फिल्म इतनी खराब थी कि समय की बर्बादी लगी।,negative
मुझे इससे कोई विशेष भावना महसूस नहीं हुई।,neutral
यह फिल्म इतनी शानदार थी कि मैंने इसे दो बार देखा।,positive
इस सेवा का अनुभव इतना खराब था कि मैं किसी को सुझाव नहीं दूंगा।,negative
मुझे इस विषय पर कोई स्पष्ट राय नहीं बन पाई।,neutral
आपकी मदद ने मेरे जीवन को आसान बना दिया।,positive
यह निर्णय मेरे लिए बेहद हानिकारक साबित हुआ।,negative
मुझे इससे कोई खास असर नहीं पड़ा।,neutral
इस अवसर ने मुझे अपनी क्षमताओं पर विश्वास दिलाया।,positive
यह फिल्म पूरी तरह से निराशाजनक रही।,negative
मुझे इस विषय पर कोई खास उत्सुकता नहीं है।,neutral
आपके सहयोग से मेरा आत्मबल बढ़ा।,positive
यह योजना असफल होने के कारण मुझे काफी नुकसान हुआ।,negative
मुझे इससे कोई विशेष अनुभव नहीं हुआ।,neutral
आपकी सलाह ने मेरी सोच को नया दृष्टिकोण दिया।,positive
यह सेवा इतनी खराब थी कि मैं शिकायत करने पर मजबूर हुआ।,negative
मुझे इस मुद्दे पर कोई ठोस विचार नहीं है।,neutral
इस प्रयास ने मुझे भविष्य में बेहतर करने की प्रेरणा दी।,positive
यह फिल्म इतनी बेकार थी कि मुझे पछतावा हुआ।,negative
मुझे इससे कोई विशेष भावनात्मक प्रतिक्रिया नहीं हुई।,neutral
आपकी सहायता से मेरा आत्मविश्वास कई गुना बढ़ा।,positive
यह निर्णय पूरी तरह से गलत साबित हुआ।,negative
मुझे इस विषय पर कोई उत्सुकता नहीं थी।,neutral
इस योजना से मुझे उम्मीद से अधिक लाभ मिला।,positive
यह सेवा बेहद निराशाजनक थी।,negative
मुझे इससे कोई भावनात्मक असर नहीं पड़ा।,neutral
आपकी मदद के लिए मैं दिल से आभारी हूं।,positive
यह फिल्म एकदम घटिया थी और समय की बर्बादी।,negative
मुझे इस विषय पर कोई विशेष रुचि महसूस नहीं हुई।,neutral
इस अनुभव ने मुझे अंदर से सशक्त किया।,positive
यह निर्णय मेरे लिए अस्वीकार्य था।,negative
मुझे इस बारे में कोई ठोस राय नहीं बन पाई।,neutral
आपकी सहायता मेरे लिए वरदान साबित हुई।,positive
यह योजना पूरी तरह असफल रही।,negative
मुझे इससे कोई खास फर्क महसूस नहीं हुआ।,neutral
इस सेवा ने मेरे काम को अत्यधिक सरल बनाया।,positive
यह फिल्म इतनी खराब थी कि मैं अंत तक नहीं देख सका।,negative
मुझे इस मुद्दे पर कोई स्पष्ट भावना नहीं हुई।,neutral
आपकी सलाह मेरे लिए अत्यंत लाभकारी रही।,positive
यह निर्णय पूरी तरह निराशाजनक था।,negative
मुझे इस विषय में कोई खास भावना नहीं हुई।,neutral
इस अवसर ने मुझे आगे बढ़ने का साहस दिया।,positive
यह सेवा एकदम खराब थी और भरोसे के लायक नहीं।,negative
मुझे इससे कोई विशेष प्रतिक्रिया नहीं हुई।,neutral
आपकी मदद से मेरा आत्मविश्वास लौट आया।,positive
यह फिल्म समय और पैसे की पूरी बर्बादी थी।,negative
मुझे इससे कोई खास अनुभव नहीं हुआ।,neutral
इस योजना ने मेरी जिंदगी बदल दी।,positive
यह निर्णय अत्यंत नुकसानदेह साबित हुआ।,negative
मुझे इस विषय पर कोई खास विचार नहीं आया।,neutral
आपकी सहायता ने इस कार्य को सफल बनाया।,positive
यह सेवा इतनी खराब थी कि मुझे निराशा हुई।,negative
मुझे इससे कोई विशेष अनुभूति नहीं हुई।,neutral
इस अनुभव ने मुझे सशक्त और आत्मनिर्भर बनाया।,positive
यह फिल्म पूरी तरह बेकार थी।,negative
मुझे इससे कोई खास प्रभाव महसूस नहीं हुआ।,neutral
आपकी सलाह ने मुझे सही दिशा दिखाई।,positive
यह निर्णय मेरे लिए अत्यंत दुखद रहा।,negative
मुझे इससे कोई खास अनुभूति नहीं हुई।,neutral
इस अवसर ने मेरी सोच में बदलाव लाया।,positive
यह सेवा मेरे लिए पूरी तरह निराशाजनक रही।,negative
मुझे इस मुद्दे पर कोई ठोस प्रतिक्रिया नहीं है।,neutral
आपकी मदद मेरे लिए संबल बनी।,positive
यह फिल्म देखकर मुझे बहुत पछतावा हुआ।,negative
मुझे इससे कोई विशेष भावना महसूस नहीं हुई।,neutral
इस अनुभव ने मुझे अपने लक्ष्य के प्रति सजग किया।,positive
यह निर्णय पूरी तरह असंवेदनशील था।,negative
मुझे इस विषय में कोई खास दिलचस्पी नहीं थी।,neutral
आपकी सहायता से मेरा आत्मविश्वास पुनः जागृत हुआ।,positive
यह सेवा इतनी घटिया थी कि मैं दोबारा उपयोग नहीं करूंगा।,negative
मुझे इससे कोई प्रभाव नहीं पड़ा।,neutral
इस योजना ने मुझे सकारात्मक सोच दी।,positive
यह निर्णय मेरे लिए विनाशकारी साबित हुआ।,negative
मुझे इससे कोई विशेष प्रतिक्रिया नहीं हुई।,neutral
आपकी मदद से यह काम संभव हो पाया।,positive
यह फिल्म एकदम असफल रही।,negative
मुझे इससे कोई भावनात्मक असर नहीं हुआ।,neutral
इस अवसर ने मुझे अपनी क्षमताओं को पहचानने का मौका दिया।,positive
यह सेवा बेहद घटिया रही।,negative
मुझे इससे कोई खास अनुभूति नहीं हुई।,neutral
आपकी सहायता मेरे लिए अमूल्य रही।,positive
यह निर्णय पूरी तरह असफल रहा।,negative
मुझे इससे कोई उत्साह नहीं मिला।,neutral
इस योजना ने मुझे उम्मीद से कहीं ज्यादा लाभ पहुंचाया।,positive
यह फिल्म अत्यंत निराशाजनक साबित हुई।,negative
मुझे इससे कोई विशेष अनुभूति नहीं हुई।,neutral
आपकी मदद ने मेरे जीवन में सकारात्मक बदलाव लाया।,positive
यह सेवा एकदम घटिया स्तर की थी।,negative
मुझे इससे कोई खास असर महसूस नहीं हुआ।,neutral
इस अवसर ने मुझे आत्मविश्वास दिया।,positive
यह निर्णय मेरे लिए बहुत हानिकारक रहा।,negative
मुझे इससे कोई ठोस प्रतिक्रिया नहीं हुई।,neutral
आपकी सलाह से मेरे सभी संदेह दूर हुए।,positive
यह फिल्म इतनी खराब थी कि मैं किसी को नहीं सुझाऊंगा।,negative
मुझे इससे कोई विशेष अनुभूति नहीं हुई।,neutral
इस योजना ने मेरे आत्मबल को बढ़ाया।,positive
यह सेवा पूरी तरह असफल रही।,negative
मुझे इससे कोई भावना नहीं हुई।,neutral
आपकी मदद ने हर मुश्किल आसान कर दी।,positive
यह निर्णय मेरे लिए पूर्ण रूप से नकारात्मक रहा।,negative
मुझे इससे कोई विशेष अनुभव नहीं हुआ।,neutral
इस अवसर ने मुझे भविष्य के लिए प्रेरित किया।,positive
यह फिल्म एकदम घटिया और असफल रही।,negative
मुझे इससे कोई खास प्रतिक्रिया नहीं हुई।,neutral
आपकी सहायता ने मेरे आत्मविश्वास को बल दिया।,positive
यह सेवा पूरी तरह से निराशाजनक साबित हुई।,negative
मुझे इससे कोई विशेष भावनात्मक अनुभव नहीं हुआ।,neutral
इस योजना ने मेरे काम को सहज बना दिया।,positive
यह निर्णय पूरी तरह गलत और असंवेदनशील रहा।,negative
मुझे इससे कोई खास भावना नहीं हुई।,neutral
आपकी मदद से मुझे हर कदम पर संबल मिला।,positive
यह फिल्म अत्यंत घटिया थी और समय की बर्बादी।,negative
मुझे इससे कोई विशेष प्रभाव महसूस नहीं हुआ।,neutral
इस अवसर ने मेरी सोच को नई दिशा दी।,positive
यह सेवा बेहद असफल रही।,negative
मुझे इससे कोई ठोस प्रतिक्रिया नहीं हुई।,neutral
आपकी सहायता मेरे लिए प्रेरणा का स्रोत बनी।,positive
यह निर्णय मेरे लिए निराशाजनक रहा।,negative
मुझे इससे कोई उत्सुकता नहीं हुई।,neutral
इस योजना ने मुझे आत्मनिर्भर बनाया।,positive
यह फिल्म पूरी तरह असफल साबित हुई।,negative
मुझे इससे कोई खास अनुभव नहीं हुआ।,neutral
आपकी मदद से मैं हर बाधा पार कर सका।,positive
यह सेवा इतनी घटिया थी कि मुझे खेद हुआ।,negative
मुझे इससे कोई विशेष अनुभूति नहीं हुई।,neutral
इस अवसर ने मेरे आत्मबल को बढ़ाया।,positive
यह निर्णय पूरी तरह अस्वीकार्य था।,negative
मुझे इससे कोई प्रतिक्रिया नहीं हुई।,neutral
आपकी सहायता से मेरा आत्मविश्वास मजबूत हुआ।,positive
यह फिल्म निराशाजनक और बेमतलब थी।,negative
मुझे इससे कोई भावना महसूस नहीं हुई।,neutral
मैं आज बहुत खुश हूं।,positive
यह खाना बिल्कुल बेस्वाद है।,negative
आज मौसम ठीक है।,neutral
इस फिल्म ने मेरा दिल छू लिया।,positive
मेरी नौकरी चली गई है।,negative
मैं कल दिल्ली जाऊंगा।,neutral
यह किताब अद्भुत है।,positive
मुझे सिरदर्द हो रहा है।,negative
दुकान शाम छह बजे बंद हो जाती है।,neutral
तुम्हारा यह काम शानदार है।,positive
मैं इस व्यक्ति से परेशान हूं।,negative
आज शुक्रवार है।,neutral
इस रेस्तरां का खाना लाजवाब है।,positive
मेरा फोन खराब हो गया है।,negative
बाहर बारिश हो रही है।,neutral
आपका स्वागत है।,positive
यह जगह बहुत गंदी है।,negative
मैं दस बजे सो जाता हूं।,neutral
मुझे यह उपहार पसंद आया।,positive
ट्रेन तीन घंटे लेट है।,negative
मेरा नाम राहुल है।,neutral
यह संगीत मेरे दिल को छूता है।,positive
मैं बहुत थक गया हूं।,negative
आज बुधवार है।,neutral
तुम्हारी मुस्कान प्यारी है।,positive
यह सेवा बहुत खराब है।,negative
मैं कॉफी पीता हूं।,neutral
इस कंपनी का भविष्य उज्ज्वल है।,positive
मुझे यह काम पसंद नहीं है।,negative
दीवार पर घड़ी लगी है।,neutral
आपने बहुत अच्छा काम किया है।,positive
मैं इस स्थिति से निराश हूं।,negative
मैं रोज पांच बजे उठता हूं।,neutral
यह यात्रा अविस्मरणीय थी।,positive
मुझे गुस्सा आ रहा है।,negative
आज सोमवार है।,neutral
तुम्हारा यह विचार शानदार है।,positive
